herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
浙贝母,盐城市,东台市,2024-5-24,120.767227,32.877846,8.26,56,23,12,55,7.5,0.101,0.012,15.7,0.247,0.318,3.094,20.651,0.037,0.04,0.004,0.061
浙贝母,盐城市,东台市,2024-5-24,120.771587,32.874884,8.2,55,24,12,56,7.3,0.112,0.011,15.4,0.277,0.413,3.533,22.626,0.031,0.043,0.009,0.08
浙贝母,盐城市,东台市,2024-5-24,120.765094,32.874013,8.35,59,23,11,53,7.1,0.071,0.009,14.8,0.228,0.292,2.82,21.005,0.03,0.036,0.008,0.089
浙贝母,南通市,如东县,2024-6-6,120.910089,32.399764,5.65,69,28,25,94,6.8,0.13,0.009,21.7,0.17,0.156,0.856,16.067,0.069,0.054,0.007,0.06
延胡索,南通市,如东县,2024-6-6,120.909977,32.400129,5.46,68,26,25,98,5.8,0.13,0.074,21.8,2.692,2.381,9.116,75.26,1.94,0.092,0.011,0.328
延胡索,南通市,如东县,2024-6-6,120.910504,32.400188,5.59,66,27,27,100,6,0.14,0.072,21.6,0.783,0.654,5.032,15.124,0.171,0.088,0.012,0.145
延胡索,南通市,如东县,2024-6-6,120.910567,32.399953,5.55,71,27,28,103,5.1,0.12,0.058,22.6,0.482,0.506,4.778,15.642,0.071,0.079,0.02,0.103
蟾酥,淮安市,盱眙县,2024-9-6,118.557535,32.808382,6.27,59,23,19,46,7.1,0.097,0.022,22,1.88,1.334,8.469,108.806,0.257,0.011,0.056,0.887
蟾酥,盐城市,射阳县,2024-7-12,120.2668,33.749944,7.93,60,26,20,77,9,0.175,0.025,22.1,8.365,2.574,10.553,119.937,0.312,0.153,0.044,0.782
蟾酥,淮安市,淮安区,2024-7-12,119.447672,33.462203,7.58,95,44,27,92,10.3,0.174,0.028,29.4,5.285,2.423,13.43,124.585,0.257,0.231,0.033,0.658
蟾酥,南通市,启东市,2024-7-12,121.562979,32.074192,7.72,58,26,15,63,5.5,0.15,0.079,17.5,1.075,0.653,7.942,117.073,0.287,0.015,0.021,0.324
薄荷,南通市,通州区,2024-6-6,121.147791,32.187951,7.15,67,26,18,72,5.7,0.17,0.04,20.9,1.914,2.109,13.096,21.749,0.127,0.045,0.039,0.366
薄荷,南通市,通州区,2024-6-6,121.147243,32.190019,7.45,58,25,18,71,6,0.2,0.041,20,1.1,2.117,12.421,19.559,0.099,0.021,0.035,0.304
薄荷,南通市,通州区,2024-6-6,121.149609,32.18958,7.38,73,29,17,75,6.9,0.08,0.049,20,0.694,2.237,10.322,22.967,0.106,0.018,0.024,0.349
黄蜀葵花,泰州市,兴化市,2024-7-29,119.879534,32.947736,6.88,78,36,24,72,8.4,0.18,0.056,25.8,0.413,1.517,16.632,37.18,0.022,0.302,0.004,0.115
黄蜀葵花,泰州市,兴化市,2024-7-29,119.880369,32.947645,6.53,78,35,24,75,9.1,0.19,0.053,24.7,0.166,1.139,13.966,42.107,0.001,0.234,0.012,0.201
黄蜀葵花,泰州市,兴化市,2024-7-29,119.881449,32.94785,6.54,77,34,23,69,9.1,0.17,0.05,24.9,0.146,1.042,15.362,56.127,0.004,0.227,0.01,0.46
黄蜀葵花,盐城市,射阳县,2025-10-19,120.140731,33.563824,8.1,67,25,22,73,11.6,0.12,0.015,30,0.432,1.304,15.609,54.906,0.034,0.203,0.01,0.216
黄蜀葵花,盐城市,射阳县,2025-10-19,120.140928,33.563739,8.06,67,26,23,75,11.1,0.14,0.019,34,0.835,1.716,16.082,47.71,0.202,0.228,0.007,0.331
黄蜀葵花,盐城市,射阳县,2025-10-19,120.305976,33.654039,7.93,65,23,22,72,10.2,0.12,0.016,27,0.352,0.833,14.788,45.637,0.054,0.073,0.007,0.113
黄蜀葵花,盐城市,射阳县,2025-10-19,120.315095,33.657738,8.04,64,24,22,72,9.9,0.18,0.015,31,0.675,1.062,12.529,43.539,0.059,0.059,0.005,0.186
半夏,南通市,如皋市,2024-5-29,120.520391,32.162783,7.24,56,20,14,67,3.7,0.13,0.045,21.4,0.161,0.202,3.531,41.659,0.029,0.034,0.01,0.018
半夏,泰州市,高港区,2024-5-29,119.970759,32.370186,7.22,58,22,23,94,6.6,0.18,0.064,22.5,0.412,0.322,3.197,55.179,0.054,0.036,0.002,0.488
半夏,徐州市,邳州市,2024-6-16,118.021934,34.392422,7.06,65,30,28,86,8.5,0.22,0.027,25.4,0.189,0.39,4.569,37.982,0.038,0.065,0.003,0.084
半夏,徐州市,邳州市,2024-6-16,118.022502,34.391328,7.4,65,29,28,80,7.8,0.21,0.022,24.4,0.25,0.452,4.024,38.671,0.046,0.057,0.027,0.159
半夏,徐州市,邳州市,2024-6-16,118.023325,34.393042,7.4,69,31,30,82,7.5,0.16,0.024,25.1,0.162,0.607,4.551,45.557,0.039,0.043,0.003,0.401
